numero_processo;classe;assuntos;municipio;data_ajuizamento;data_ajuizamento_hora;ultima_atualizacao;ultima_atualizacao_hora;formato;codigo;orgao_julgador
00000785620198160147;Inquérito Policial;Crimes contra a Flora;Rio Branco do Sul;15/01/2019;14:22:36;;;{'codigo': 1, 'nome': 'Eletrônico'};00000785620198160147;RIO BRANCO DO SUL - VARA CRIMINAL, INFÂNCIA E JUVENTUDE E FAMÍLIA E SUCESSÕES
00024188320238160065;Procedimento Investigatório Criminal (PIC-MP) ;Crimes contra a Flora;Cerro Azul;08/11/2023;12:41:40;;;{'codigo': 1, 'nome': 'Eletrônico'};00024188320238160065;CATANDUVAS - JUÍZO ÚNICO
00009254720188160065;Ação Penal - Procedimento Sumário;Crimes contra a Flora;Cerro Azul;08/05/2018;13:56:05;;;{'codigo': 1, 'nome': 'Eletrônico'};00009254720188160065;CATANDUVAS - JUÍZO ÚNICO
00000888420218160065;Ação Penal - Procedimento Sumário;Crimes contra a Flora;Cerro Azul;22/01/2021;12:39:05;;;{'codigo': 1, 'nome': 'Eletrônico'};00000888420218160065;CATANDUVAS - JUÍZO ÚNICO
00011315620218160065;Procedimento Investigatório Criminal (PIC-MP) ;Crimes contra a Flora;Cerro Azul;12/08/2021;11:49:48;;;{'codigo': 1, 'nome': 'Eletrônico'};00011315620218160065;CATANDUVAS - JUÍZO ÚNICO
00013628820188160065;Ação Penal - Procedimento Sumário;Crimes contra a Flora;Cerro Azul;06/07/2018;18:59:10;;;{'codigo': 1, 'nome': 'Eletrônico'};00013628820188160065;CATANDUVAS - JUÍZO ÚNICO
00008601820198160065;Carta Precatória Criminal;Crimes contra a Flora;Cerro Azul;05/04/2019;19:30:07;;;{'codigo': 1, 'nome': 'Eletrônico'};00008601820198160065;CATANDUVAS - JUÍZO ÚNICO
00002083020218160065;Carta Precatória Criminal;Crimes contra a Flora;Cerro Azul;12/02/2021;14:00:03;;;{'codigo': 1, 'nome': 'Eletrônico'};00002083020218160065;CATANDUVAS - JUÍZO ÚNICO
00003747820198160147;Inquérito Policial;Crimes contra a Flora;Rio Branco do Sul;08/02/2019;13:53:16;;;{'codigo': 1, 'nome': 'Eletrônico'};00003747820198160147;RIO BRANCO DO SUL - VARA CRIMINAL, INFÂNCIA E JUVENTUDE E FAMÍLIA E SUCESSÕES
00007120720198160065;Inquérito Policial;Crimes contra a Flora;Cerro Azul;27/03/2019;14:59:35;;;{'codigo': 1, 'nome': 'Eletrônico'};00007120720198160065;CATANDUVAS - JUÍZO ÚNICO
00010831620198160147;Inquérito Policial;Crimes contra a Flora;Rio Branco do Sul;10/04/2019;17:43:46;;;{'codigo': 1, 'nome': 'Eletrônico'};00010831620198160147;RIO BRANCO DO SUL - VARA CRIMINAL, INFÂNCIA E JUVENTUDE E FAMÍLIA E SUCESSÕES
00055698320158160147;Ação Penal - Procedimento Ordinário;Crimes contra a Flora;Rio Branco do Sul;06/11/2015;11:40:19;;;{'codigo': 1, 'nome': 'Eletrônico'};00055698320158160147;RIO BRANCO DO SUL - VARA CRIMINAL, INFÂNCIA E JUVENTUDE E FAMÍLIA E SUCESSÕES
00035995320128160147;Ação Penal - Procedimento Sumário;Crimes contra a Flora;Rio Branco do Sul;03/09/2012;00:00:00;;;{'codigo': 1, 'nome': 'Eletrônico'};00035995320128160147;RIO BRANCO DO SUL - VARA CRIMINAL, INFÂNCIA E JUVENTUDE E FAMÍLIA E SUCESSÕES
00002171820138160147;Inquérito Policial;Crimes contra a Flora;Rio Branco do Sul;24/01/2013;00:00:00;;;{'codigo': 1, 'nome': 'Eletrônico'};00002171820138160147;RIO BRANCO DO SUL - VARA CRIMINAL, INFÂNCIA E JUVENTUDE E FAMÍLIA E SUCESSÕES
00000978520178160065;Ação Penal - Procedimento Sumário;Crimes contra a Flora;Cerro Azul;19/01/2017;16:40:57;;;{'codigo': 1, 'nome': 'Eletrônico'};00000978520178160065;CATANDUVAS - JUÍZO ÚNICO
00001107920208160065;Inquérito Policial;Crimes contra a Flora;Cerro Azul;13/01/2020;15:03:23;;;{'codigo': 1, 'nome': 'Eletrônico'};00001107920208160065;CATANDUVAS - JUÍZO ÚNICO
00010951420218160065;Procedimento Investigatório Criminal (PIC-MP) ;Crimes contra a Flora;Cerro Azul;04/08/2021;09:33:15;;;{'codigo': 1, 'nome': 'Eletrônico'};00010951420218160065;CATANDUVAS - JUÍZO ÚNICO
00008552520218160065;Procedimento Investigatório Criminal (PIC-MP) ;Crimes contra a Flora;Cerro Azul;18/06/2021;13:38:06;;;{'codigo': 1, 'nome': 'Eletrônico'};00008552520218160065;CATANDUVAS - JUÍZO ÚNICO
00068801220158160147;Crimes Ambientais;Crimes contra a Flora;Rio Branco do Sul;18/12/2015;13:20:11;;;{'codigo': 1, 'nome': 'Eletrônico'};00068801220158160147;RIO BRANCO DO SUL - VARA CRIMINAL, INFÂNCIA E JUVENTUDE E FAMÍLIA E SUCESSÕES
00008507120198160065;Inquérito Policial;Crimes contra a Flora;Cerro Azul;05/04/2019;13:04:58;;;{'codigo': 1, 'nome': 'Eletrônico'};00008507120198160065;CATANDUVAS - JUÍZO ÚNICO
00003773320198160147;Ação Penal - Procedimento Sumário;Crimes contra a Flora;Rio Branco do Sul;08/02/2019;14:06:36;;;{'codigo': 1, 'nome': 'Eletrônico'};00003773320198160147;RIO BRANCO DO SUL - VARA CRIMINAL, INFÂNCIA E JUVENTUDE E FAMÍLIA E SUCESSÕES
00002247620248160065;Carta Precatória Criminal;Crimes contra a Flora;Cerro Azul;29/01/2024;15:38:42;;;{'codigo': 1, 'nome': 'Eletrônico'};00002247620248160065;CATANDUVAS - JUÍZO ÚNICO
00024418420178160147;Inquérito Policial;Esbulho possessório, Crimes contra a Flora;Rio Branco do Sul;03/08/2017;13:49:21;;;{'codigo': 1, 'nome': 'Eletrônico'};00024418420178160147;RIO BRANCO DO SUL - VARA CRIMINAL, INFÂNCIA E JUVENTUDE E FAMÍLIA E SUCESSÕES
00312471720208160021;Ação Penal - Procedimento Ordinário;Crimes contra a Fauna, Crimes do Sistema Nacional de Armas;Cerro Azul;06/10/2020;09:40:47;;;{'codigo': 1, 'nome': 'Eletrônico'};00312471720208160021;CATANDUVAS - JUÍZO ÚNICO
00019295620178160065;Ação Penal - Procedimento Ordinário;Crimes do Sistema Nacional de Armas, Crimes contra a Fauna;Cerro Azul;02/10/2017;16:40:39;;;{'codigo': 1, 'nome': 'Eletrônico'};00019295620178160065;CATANDUVAS - JUÍZO ÚNICO
00005244820188160065;Ação Penal - Procedimento Ordinário;Crimes do Sistema Nacional de Armas, Crimes contra a Fauna;Cerro Azul;19/03/2018;18:37:09;;;{'codigo': 1, 'nome': 'Eletrônico'};00005244820188160065;CATANDUVAS - JUÍZO ÚNICO
00005028720188160065;Ação Penal - Procedimento Ordinário;Crimes do Sistema Nacional de Armas, Crimes contra a Fauna;Cerro Azul;19/03/2018;13:46:15;;;{'codigo': 1, 'nome': 'Eletrônico'};00005028720188160065;CATANDUVAS - JUÍZO ÚNICO
00019408520178160065;Ação Penal - Procedimento Ordinário;Crimes do Sistema Nacional de Armas, Crimes contra a Fauna;Cerro Azul;03/10/2017;10:08:56;;;{'codigo': 1, 'nome': 'Eletrônico'};00019408520178160065;CATANDUVAS - JUÍZO ÚNICO
00000082320218160065;Carta Precatória Criminal;Crimes do Sistema Nacional de Armas, Crimes contra a Fauna;Cerro Azul;07/01/2021;10:30:06;;;{'codigo': 1, 'nome': 'Eletrônico'};00000082320218160065;CATANDUVAS - JUÍZO ÚNICO
00021522020188160147;Ação Civil Pública;Antecipação de Tutela / Tutela Específica, Multa Cominatória / Astreintes, Poluição, Irregularidade no atendimento;Rio Branco do Sul;06/07/2018;11:54:59;;;{'codigo': 1, 'nome': 'Eletrônico'};00021522020188160147;RIO BRANCO DO SUL - VARA CÍVEL, DA FAZENDA PÚBLICA, ACIDENTES DO TRABALHO, REGISTROS PÚBLICOS E CORREGEDORIA DO FORO EXTRAJUDICIAL
00039022320198160147;Ação Penal - Procedimento Ordinário;Crimes do Sistema Nacional de Armas, Crimes contra a Flora;Rio Branco do Sul;14/12/2019;20:52:23;;;{'codigo': 1, 'nome': 'Eletrônico'};00039022320198160147;RIO BRANCO DO SUL - VARA CRIMINAL, INFÂNCIA E JUVENTUDE E FAMÍLIA E SUCESSÕES
00012341620188160147;Cumprimento de sentença;Antecipação de Tutela / Tutela Específica, Dano Ambiental, Parcelamento do Solo, Moradia, Irregularidade no atendimento;Rio Branco do Sul;20/04/2018;12:07:54;;;{'codigo': 1, 'nome': 'Eletrônico'};00012341620188160147;RIO BRANCO DO SUL - VARA CÍVEL, DA FAZENDA PÚBLICA, ACIDENTES DO TRABALHO, REGISTROS PÚBLICOS E CORREGEDORIA DO FORO EXTRAJUDICIAL
