CODEALERTA,FONTE,BIOMA,ESTADO,MUNICIPIO,AREAHA,ANODETEC,DATADETEC,DTIMGANT,DTIMGDEP,DTPUBLI,VPRESSAO
71247,{GLAD},Mata Atlântica,PARANÁ,Cerro Azul,1.58,2019.0,2019-10-27,2019-09-09,2019-10-13,2020-05-11,agriculture
134306,{GLAD},Mata Atlântica,PARANÁ,Bocaiúva do Sul,1.86,2020.0,2020-01-07,2019-10-30,2019-11-30,2020-07-07,agriculture
249368,{GLAD},Mata Atlântica,PARANÁ,Itaperuçu,1.91,2020.0,2020-10-12,2020-08-11,2020-11-25,2021-03-30,agriculture
342288,{GLAD},Mata Atlântica,PARANÁ,Tunas do Paraná,3.11,2021.0,2021-05-25,2021-04-11,2021-05-21,2021-06-29,agriculture
488076,{GLAD},Mata Atlântica,PARANÁ,Tunas do Paraná,4.31,2021.0,2021-11-17,2021-07-22,2021-08-23,2022-03-03,agriculture
551491,{SAD-MATA-ATLANTICA},Mata Atlântica,PARANÁ,Bocaiúva do Sul,122.9,2022.0,2022-02-28,2021-10-26,2022-06-28,2022-07-05,agriculture
585771,{SAD-MATA-ATLANTICA},Mata Atlântica,PARANÁ,Rio Branco do Sul,4.26,2022.0,2022-04-30,2021-12-27,2022-02-12,2022-07-26,agriculture
624742,{SAD-MATA-ATLANTICA},Mata Atlântica,PARANÁ,Rio Branco do Sul,2.46,2022.0,2022-07-31,2022-03-06,2022-05-12,2022-10-28,agriculture
96888,{GLAD},Mata Atlântica,PARANÁ,Bocaiúva do Sul,14.78,2019.0,2019-03-09,2018-12-10,2019-03-08,2020-05-11,agriculture
315069,{GLAD},Mata Atlântica,PARANÁ,Bocaiúva do Sul,0.81,2021.0,2021-02-02,2021-01-07,2021-02-16,2021-04-20,agriculture
134452,{GLAD},Mata Atlântica,PARANÁ,Adrianópolis,1.28,2020.0,2020-01-07,2019-10-30,2019-12-28,2020-07-07,agriculture
134488,{GLAD},Mata Atlântica,PARANÁ,Adrianópolis,12.21,2020.0,2020-01-15,2019-12-26,2020-01-28,2021-03-30,agriculture
169370,{GLAD},Mata Atlântica,PARANÁ,Tunas do Paraná,4.53,2020.0,2020-05-30,2020-03-13,2020-05-25,2020-08-03,agriculture
249374,{GLAD},Mata Atlântica,PARANÁ,Doutor Ulysses,1.15,2020.0,2020-10-12,2020-04-04,2020-10-10,2020-12-15,agriculture
409776,{GLAD},Mata Atlântica,PARANÁ,Tunas do Paraná,2.09,2021.0,2021-07-12,2021-06-13,2021-07-30,2021-08-31,agriculture
445059,{GLAD},Mata Atlântica,PARANÁ,Adrianópolis,4.7,2021.0,2021-10-16,2021-08-23,2021-11-17,2021-12-01,agriculture
495556,{GLAD},Mata Atlântica,PARANÁ,Rio Branco do Sul,3.32,2021.0,2021-12-10,2021-09-28,2021-11-17,2022-03-08,agriculture
497799,{GLAD},Mata Atlântica,PARANÁ,Cerro Azul,5.34,2021.0,2021-12-26,2021-06-30,2021-11-23,2022-03-08,agriculture
583136,{SAD-MATA-ATLANTICA},Mata Atlântica,PARANÁ,Adrianópolis,2.02,2022.0,2022-03-31,2021-10-26,2021-12-26,2022-07-12,agriculture
584720,{SAD-MATA-ATLANTICA},Mata Atlântica,PARANÁ,Cerro Azul,9.75,2022.0,2022-03-31,2021-08-20,2021-12-26,2022-07-19,agriculture
169369,{GLAD},Mata Atlântica,PARANÁ,Bocaiúva do Sul,3.12,2020.0,2020-05-30,2020-05-18,2020-07-20,2020-08-03,agriculture
610627,{SOS-INPE},Mata Atlântica,PARANÁ,Cerro Azul,3.45,2022.0,2022-05-31,2021-07-19,2021-12-01,2022-09-20,agriculture
632303,{SAD-MATA-ATLANTICA},Mata Atlântica,PARANÁ,Bocaiúva do Sul,6.73,2022.0,2022-08-31,2022-06-23,2022-07-07,2022-11-22,agriculture
57659,{GLAD},Mata Atlântica,PARANÁ,Rio Branco do Sul,3.2,2019.0,2019-10-27,2019-08-10,2019-11-29,2020-05-11,mining
