CODEALERTA,FONTE,BIOMA,ESTADO,MUNICIPIO,AREAHA,ANODETEC,DATADETEC,DTIMGANT,DTIMGDEP,DTPUBLI,VPRESSAO
490175,{GLAD},Mata Atlântica,PARANÁ,Adrianópolis,5.45,2021.0,2021-11-17,2021-08-23,2021-12-27,2022-02-15,agriculture
497796,{GLAD},Mata Atlântica,PARANÁ,Cerro Azul,1.44,2021.0,2021-12-26,2021-10-20,2021-12-11,2022-02-22,agriculture
599198,{GLAD},Mata Atlântica,PARANÁ,Bocaiúva do Sul,4.48,2022.0,2022-02-20,2022-01-14,2022-02-22,2022-09-06,agriculture
249352,{GLAD},Mata Atlântica,PARANÁ,Tunas do Paraná,2.1,2020.0,2020-10-13,2020-07-13,2020-09-26,2020-12-15,agriculture
271675,{GLAD},Mata Atlântica,PARANÁ,Adrianópolis,8.15,2020.0,2020-11-06,2020-10-20,2020-12-20,2021-01-05,agriculture
315147,{GLAD},Mata Atlântica,PARANÁ,Cerro Azul,1.74,2021.0,2021-02-02,2020-11-26,2021-02-13,2021-04-20,agriculture
488074,{GLAD},Mata Atlântica,PARANÁ,Adrianópolis,3.57,2021.0,2021-11-17,2021-07-29,2021-11-21,2022-03-03,agriculture
497088,{GLAD},Mata Atlântica,PARANÁ,Doutor Ulysses,3.09,2021.0,2021-12-10,2021-07-02,2021-12-26,2022-02-15,agriculture
497761,{GLAD},Mata Atlântica,PARANÁ,Bocaiúva do Sul,1.11,2021.0,2021-12-27,2021-07-24,2021-09-03,2022-03-08,agriculture
497792,{GLAD},Mata Atlântica,PARANÁ,Doutor Ulysses,1.18,2021.0,2021-12-26,2021-08-23,2022-01-20,2022-03-03,agriculture
624004,{SAD-MATA-ATLANTICA},Mata Atlântica,PARANÁ,Cerro Azul,0.53,2022.0,2022-07-31,2021-12-01,2022-06-12,2022-10-28,agriculture
96874,{GLAD},Mata Atlântica,PARANÁ,Adrianópolis,6.78,2019.0,2019-03-25,2018-10-03,2019-03-25,2020-05-11,agriculture
251629,{GLAD},Mata Atlântica,PARANÁ,Adrianópolis,4.41,2020.0,2020-10-29,2020-08-30,2020-10-29,2020-12-08,agriculture
251685,{GLAD},Mata Atlântica,PARANÁ,Doutor Ulysses,9.39,2020.0,2020-10-28,2020-09-10,2020-10-28,2020-12-15,agriculture
482472,{GLAD},Mata Atlântica,PARANÁ,Doutor Ulysses,3.8,2021.0,2021-11-17,2021-07-18,2021-11-17,2022-03-03,agriculture
880273,{SAD-MATA-ATLANTICA},Mata Atlântica,PARANÁ,Cerro Azul,6.48,2023.0,2023-03-31,2022-11-09,2023-02-15,2023-05-30,agriculture
883294,{SAD-MATA-ATLANTICA},Mata Atlântica,PARANÁ,Itaperuçu,1.1,2023.0,2023-04-30,2022-05-27,2022-07-30,2023-06-06,agriculture
1215251,{SAD-MATA-ATLANTICA},Mata Atlântica,PARANÁ,Cerro Azul,2.14,2024.0,2024-02-29,2023-09-18,2023-12-22,2024-05-06,agriculture
1271350,{SAD-MATA-ATLANTICA},Mata Atlântica,PARANÁ,Cerro Azul,0.36,2024.0,2024-07-31,2024-02-09,2024-05-28,2024-10-01,agriculture
1267254,{SAD-MATA-ATLANTICA},Mata Atlântica,PARANÁ,Doutor Ulysses,1.8,2024.0,2024-06-30,2023-12-15,2024-05-07,2024-09-24,agriculture
1265103,{SAD-MATA-ATLANTICA},Mata Atlântica,PARANÁ,Cerro Azul,0.84,2024.0,2024-06-30,2024-01-19,2024-05-03,2024-10-01,agriculture
1301888,{SOS-ATLAS},Mata Atlântica,PARANÁ,Doutor Ulysses,5.59,2023.0,2023-10-30,2023-03-08,2023-06-28,2024-10-23,agriculture
1339246,{SAD-MATA-ATLANTICA},Mata Atlântica,PARANÁ,Itaperuçu,7.26,2024.0,2024-11-30,2024-07-22,2024-10-24,2025-03-25,mining
1369436,{SAD-MATA-ATLANTICA},Mata Atlântica,PARANÁ,Adrianópolis,2.73,2025.0,2025-02-28,2024-11-11,2025-01-02,2025-05-27,agriculture
1366985,{SAD-MATA-ATLANTICA},Mata Atlântica,PARANÁ,Adrianópolis,0.57,2025.0,2025-02-28,2024-11-11,2024-12-19,2025-05-27,agriculture
1366685,{SAD-MATA-ATLANTICA},Mata Atlântica,PARANÁ,Adrianópolis,1.06,2025.0,2025-02-28,2024-11-11,2024-12-19,2025-05-27,agriculture
1366481,{SAD-MATA-ATLANTICA},Mata Atlântica,PARANÁ,Adrianópolis,4.38,2025.0,2025-02-28,2024-11-18,2025-01-23,2025-05-27,agriculture
1103762,{PRODES-MATA-ATLANTICA},Mata Atlântica,PARANÁ,Cerro Azul,0.71,2021.0,2021-08-20,2023-04-21,2024-08-26,2025-06-10,agriculture
